# x  u(x)  d(x)  ubar(x)  dbar(x)
3.3570224467e-02 1.5021633243e+01 1.2347116595e+01 5.4910803049e+00 6.0853363822e+00
3.4608209930e-02 1.4678865724e+01 1.2026686099e+01 5.2814348792e+00 5.8548042906e+00
3.5678289723e-02 1.4344637728e+01 1.1714092965e+01 5.0789354102e+00 5.6326429246e+00
3.6781456195e-02 1.4018291666e+01 1.1408856522e+01 4.8826750164e+00 5.4182960805e+00
3.7918732382e-02 1.3699227589e+01 1.1110536050e+01 4.6918352275e+00 5.2112490572e+00
3.9091172949e-02 1.3387480633e+01 1.0819219231e+01 4.5063065501e+00 5.0111814361e+00
4.0299865173e-02 1.3083280191e+01 1.0535069272e+01 4.3265167596e+00 4.8180563447e+00
4.1545929950e-02 1.2786246443e+01 1.0257693555e+01 4.1523861157e+00 4.6317833865e+00
4.2830522831e-02 1.2496026191e+01 9.9867296543e+00 3.9838289698e+00 4.4522627796e+00
4.4154835099e-02 1.2212291926e+01 9.7218439686e+00 3.8207551607e+00 4.2793865167e+00
4.5520094870e-02 1.1934745624e+01 9.4627352415e+00 3.6630686837e+00 4.1130363641e+00
4.6927568235e-02 1.1663497628e+01 9.2095294870e+00 3.5105336539e+00 3.9528665938e+00
4.8378560430e-02 1.1398473437e+01 8.9622134905e+00 3.3629659262e+00 3.7985936541e+00
4.9874417049e-02 1.1139359686e+01 8.7205377548e+00 3.2202661208e+00 3.6500660939e+00
5.1416525293e-02 1.0885866630e+01 8.4842705945e+00 3.0823334676e+00 3.5071327619e+00
5.3006315254e-02 1.0637726545e+01 8.2531969152e+00 2.9490660971e+00 3.3696430814e+00
5.4645261243e-02 1.0394810605e+01 8.0271890407e+00 2.8203941552e+00 3.2374729646e+00
5.6334883154e-02 1.0157336994e+01 7.8063571730e+00 2.6962578073e+00 3.1104911816e+00
5.8076747879e-02 9.9250191835e+00 7.5905349737e+00 2.5763593048e+00 2.9883631674e+00
5.9872470757e-02 9.6975381064e+00 7.3795338297e+00 2.4604032569e+00 2.8707610609e+00
6.1723717071e-02 9.4746023623e+00 7.1731780535e+00 2.3481179522e+00 2.7573812213e+00
6.3632203598e-02 9.2559777364e+00 6.9713348566e+00 2.2392475438e+00 2.6479645589e+00
6.5599700194e-02 9.0418233319e+00 6.7741766517e+00 2.1336040585e+00 2.5425277197e+00
6.7628031440e-02 8.8320721105e+00 6.5815128369e+00 2.0312964987e+00 2.4409300659e+00
6.9719078333e-02 8.6265579787e+00 6.3930540363e+00 1.9324597729e+00 2.3429666353e+00
7.1874780030e-02 8.4251266255e+00 6.2085369693e+00 1.8372041882e+00 2.2484455700e+00
7.4097135646e-02 8.2276556104e+00 6.0277612457e+00 1.7455722030e+00 2.1572187117e+00
7.6388206109e-02 8.0342073644e+00 5.8508919486e+00 1.6571937302e+00 2.0693650698e+00
7.8750116069e-02 7.8446890073e+00 5.6778443268e+00 1.5720113151e+00 1.9846461496e+00
8.1185055872e-02 7.6589650910e+00 5.5084547470e+00 1.4900631881e+00 1.9027636350e+00
8.3695283588e-02 7.4769094252e+00 5.3425727905e+00 1.4113738678e+00 1.8234458152e+00
8.6283127104e-02 7.2984690270e+00 5.1801377719e+00 1.3358251198e+00 1.7465769466e+00
8.8950986290e-02 7.1236812654e+00 5.0212146625e+00 1.2631298701e+00 1.6722705962e+00
9.1701335214e-02 6.9524045774e+00 4.8656684770e+00 1.1933735414e+00 1.6003161419e+00
9.4536724446e-02 6.7844988678e+00 4.7133642473e+00 1.1266412847e+00 1.5305038696e+00
9.7459783416e-02 6.6198561412e+00 4.5641883330e+00 1.0629728411e+00 1.4626592998e+00
1.0047322286e-01 6.4585916535e+00 4.4181658521e+00 1.0020767229e+00 1.3968306732e+00
1.0357983732e-01 6.3005504462e+00 4.2752422472e+00 9.4388648203e-01 1.3329543056e+00
1.0678250776e-01 6.1455035552e+00 4.1353282138e+00 8.8842852793e-01 1.2709137618e+00
1.1008420420e-01 5.9932567660e+00 3.9983401349e+00 8.3570884987e-01 1.2106055409e+00
1.1348798853e-01 5.8439417080e+00 3.8642178601e+00 7.8551456804e-01 1.1520274143e+00
1.1699701726e-01 5.6974779538e+00 3.7329772561e+00 7.3776179131e-01 1.0951340897e+00
1.2061454456e-01 5.5536512519e+00 3.6046423542e+00 6.9245791538e-01 1.0398446562e+00
1.2434392516e-01 5.4123035462e+00 3.4792223462e+00 6.4959051010e-01 9.8608086316e-01
1.2818861756e-01 5.2736346919e+00 3.3566257539e+00 6.0900236241e-01 9.3376998991e-01
1.3215218717e-01 5.1374345769e+00 3.2368122806e+00 5.7059368702e-01 8.8294698535e-01
1.3623830966e-01 5.0033835630e+00 3.1197663245e+00 5.3430043764e-01 8.3365957134e-01
1.4045077435e-01 4.8713702708e+00 3.0054282504e+00 5.0005112301e-01 7.8588716586e-01
1.4479348771e-01 4.7415960684e+00 2.8937092364e+00 4.6774122481e-01 7.3952258139e-01
1.4927047700e-01 4.6137654582e+00 2.7846806282e+00 4.3726916612e-01 6.9464859520e-01
1.5388589402e-01 4.4876119003e+00 2.6784023732e+00 4.0854118482e-01 6.5133378522e-01
