x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
8.900000e-01	4.394154e-02	2.544489e-02	4.798628e-02	2.268265e-02	4.277700e-02	1.455743e-03	2.591222e-03
8.905298e-01	4.380353e-02	2.535617e-02	4.787401e-02	2.260168e-02	4.267337e-02	1.433644e-03	2.553405e-03
8.974670e-01	4.202688e-02	2.421753e-02	4.642003e-02	2.156264e-02	4.133115e-02	1.164545e-03	2.090279e-03
9.000000e-01	4.139216e-02	2.381241e-02	4.589661e-02	2.119298e-02	4.084786e-02	1.075617e-03	1.936111e-03
9.044477e-01	4.029551e-02	2.311455e-02	4.498710e-02	2.055627e-02	4.000801e-02	9.312699e-04	1.684574e-03
9.100000e-01	3.895806e-02	2.226708e-02	4.386867e-02	1.978320e-02	3.897516e-02	7.708303e-04	1.402911e-03
9.200000e-01	3.663586e-02	2.080528e-02	4.190109e-02	1.845032e-02	3.715821e-02	5.313647e-04	9.777111e-04
9.300000e-01	3.442239e-02	1.942363e-02	3.999258e-02	1.719150e-02	3.539637e-02	3.478256e-04	6.469556e-04
9.400000e-01	3.231461e-02	1.811889e-02	3.814188e-02	1.600405e-02	3.368901e-02	2.127364e-04	3.999444e-04
9.500000e-01	3.030968e-02	1.688802e-02	3.634781e-02	1.488546e-02	3.203557e-02	1.182211e-04	2.246200e-04
9.600000e-01	2.840490e-02	1.572812e-02	3.460926e-02	1.383331e-02	3.043547e-02	5.267529e-05	1.011366e-04
9.700000e-01	2.659774e-02	1.463646e-02	3.292517e-02	1.284533e-02	2.888821e-02	1.204745e-05	2.337206e-05
9.800000e-01	2.488577e-02	1.361043e-02	3.129452e-02	1.191938e-02	2.739330e-02	3.231293e-08	6.333333e-08
9.900000e-01	2.326676e-02	1.264758e-02	2.971635e-02	1.105343e-02	2.595029e-02	3.196409e-08	6.328889e-08
