x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
7.185669e-01	1.432932e-01	8.818022e-02	1.256033e-01	7.267164e-02	1.035129e-01	3.141998e-02	4.515481e-02
7.200000e-01	1.424636e-01	8.757341e-02	1.251089e-01	7.216893e-02	1.031018e-01	3.093557e-02	4.454722e-02
7.252637e-01	1.394549e-01	8.537935e-02	1.233163e-01	7.034863e-02	1.016069e-01	2.916869e-02	4.230982e-02
7.300000e-01	1.367988e-01	8.345125e-02	1.217338e-01	6.874560e-02	1.002821e-01	2.761416e-02	4.031667e-02
7.320329e-01	1.356709e-01	8.263532e-02	1.210610e-01	6.806642e-02	9.971752e-02	2.696300e-02	3.947563e-02
7.388750e-01	1.319190e-01	7.993435e-02	1.188165e-01	6.581524e-02	9.782950e-02	2.485492e-02	3.672935e-02
7.400000e-01	1.313092e-01	7.949721e-02	1.184508e-01	6.545046e-02	9.752120e-02	2.452140e-02	3.629167e-02
7.457906e-01	1.282038e-01	7.727900e-02	1.165852e-01	6.359761e-02	9.594509e-02	2.286155e-02	3.409993e-02
7.500000e-01	1.259820e-01	7.570001e-02	1.152467e-01	6.227685e-02	9.481106e-02	2.170441e-02	3.255661e-02
7.527803e-01	1.245312e-01	7.467257e-02	1.143709e-01	6.141661e-02	9.406763e-02	2.095819e-02	3.155378e-02
7.598444e-01	1.209087e-01	7.211916e-02	1.121789e-01	5.927587e-02	9.220160e-02	1.913251e-02	2.907546e-02
7.600000e-01	1.208301e-01	7.206389e-02	1.121312e-01	5.922949e-02	9.216094e-02	1.909357e-02	2.902222e-02
7.669836e-01	1.173467e-01	6.962444e-02	1.100175e-01	5.718017e-02	9.035364e-02	1.740500e-02	2.669868e-02
7.700000e-01	1.158668e-01	6.859315e-02	1.091161e-01	5.631290e-02	8.958105e-02	1.671108e-02	2.573506e-02
7.741982e-01	1.138295e-01	6.717870e-02	1.078710e-01	5.512269e-02	8.851227e-02	1.577906e-02	2.443230e-02
7.800000e-01	1.110568e-01	6.526363e-02	1.061681e-01	5.350999e-02	8.704781e-02	1.454570e-02	2.269129e-02
