# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.971060 1.13667923e-04 1.11987589e-04 1.68033386e-06 2.09504738e-06 1.87078532e-02 5.61235597e-03
1.975129 1.14465520e-04 1.12786282e-04 1.67923740e-06 2.09547956e-06 1.85792059e-02 5.57376176e-03
1.979198 1.15267589e-04 1.13589853e-04 1.67773603e-06 2.09541495e-06 1.84472019e-02 5.53416058e-03
1.983266 1.16074707e-04 1.14398940e-04 1.67576739e-06 2.09477436e-06 1.83111343e-02 5.49334030e-03
1.987335 1.16887463e-04 1.15214194e-04 1.67326908e-06 2.09347824e-06 1.81703154e-02 5.45109461e-03
1.991404 1.17706453e-04 1.16036274e-04 1.67017863e-06 2.09144663e-06 1.80240761e-02 5.40722282e-03
1.995473 1.18532283e-04 1.16865849e-04 1.66643336e-06 2.08859908e-06 1.78717657e-02 5.36152972e-03
1.999542 1.19365569e-04 1.17703598e-04 1.66197043e-06 2.08485458e-06 1.77127515e-02 5.31382544e-03
2.003610 1.20206936e-04 1.18550209e-04 1.65672675e-06 2.08013150e-06 1.75464178e-02 5.26392533e-03
2.007679 1.21057020e-04 1.19406381e-04 1.65063889e-06 2.07434749e-06 1.73721662e-02 5.21164986e-03
2.011748 1.21916465e-04 1.20272822e-04 1.64364312e-06 2.06741949e-06 1.71894154e-02 5.15682461e-03
