# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.853066 9.31908429e-05 8.08620879e-05 1.23287550e-05 1.50220102e-05 1.85773217e-01 5.57319652e-02
1.857135 9.38973551e-05 8.15266935e-05 1.23706616e-05 1.50841531e-05 1.85021033e-01 5.55063099e-02
1.861203 9.46334361e-05 8.22201356e-05 1.24133004e-05 1.51473326e-05 1.84228991e-01 5.52686972e-02
1.865272 9.53952939e-05 8.29389498e-05 1.24563441e-05 1.52111521e-05 1.83401793e-01 5.50205378e-02
1.869341 9.61780737e-05 8.36784654e-05 1.24996083e-05 1.52753887e-05 1.82548623e-01 5.47645870e-02
1.873410 9.69769201e-05 8.44340023e-05 1.25429178e-05 1.53398299e-05 1.81678346e-01 5.45035037e-02
1.877479 9.77880404e-05 8.52025489e-05 1.25854914e-05 1.54035209e-05 1.80787090e-01 5.42361270e-02
1.881547 9.86077507e-05 8.59817403e-05 1.26260104e-05 1.54648455e-05 1.79861974e-01 5.39585922e-02
1.885616 9.94325531e-05 8.67685886e-05 1.26639645e-05 1.55231741e-05 1.78903153e-01 5.36709458e-02
1.889685 1.00259184e-04 8.75597251e-05 1.26994592e-05 1.55786296e-05 1.77920038e-01 5.33760114e-02
1.893754 1.01084317e-04 8.83518561e-05 1.27324610e-05 1.56311652e-05 1.76919489e-01 5.30758467e-02
1.897822 1.01905622e-04 8.91427642e-05 1.27628575e-05 1.56806370e-05 1.75904765e-01 5.27714296e-02
1.901891 1.02720324e-04 8.99298414e-05 1.27904824e-05 1.57268341e-05 1.74878926e-01 5.24636778e-02
1.905960 1.03526980e-04 9.07116926e-05 1.28152878e-05 1.57696904e-05 1.73844077e-01 5.21532230e-02
1.910029 1.04325063e-04 9.14877815e-05 1.28372820e-05 1.58092091e-05 1.72801316e-01 5.18403949e-02
1.914097 1.05113880e-04 9.22574085e-05 1.28564714e-05 1.58453907e-05 1.71751959e-01 5.15255878e-02
1.918166 1.05893787e-04 9.30208171e-05 1.28729696e-05 1.58783682e-05 1.70696933e-01 5.12090798e-02
1.922235 1.06664874e-04 9.37780476e-05 1.28868261e-05 1.59081954e-05 1.69636667e-01 5.08910001e-02
1.926304 1.07428185e-04 9.45299091e-05 1.28982756e-05 1.59351553e-05 1.68572630e-01 5.05717889e-02
1.930372 1.08185304e-04 9.52776895e-05 1.29076142e-05 1.59596078e-05 1.67506243e-01 5.02518728e-02
1.934441 1.08937690e-04 9.60225389e-05 1.29151508e-05 1.59819293e-05 1.66439354e-01 4.99318061e-02
1.938510 1.09687275e-04 9.67658892e-05 1.29213861e-05 1.60027354e-05 1.65375790e-01 4.96127370e-02
1.942579 1.10436502e-04 9.75092272e-05 1.29272749e-05 1.60232060e-05 1.64325023e-01 4.92975069e-02
1.946648 1.11186531e-04 9.82540094e-05 1.29325213e-05 1.60429740e-05 1.63280604e-01 4.89841812e-02
1.950716 1.11937149e-04 9.90008141e-05 1.29363349e-05 1.60610565e-05 1.62231560e-01 4.86694680e-02
1.954785 1.12687550e-04 9.97493126e-05 1.29382378e-05 1.60768561e-05 1.61172601e-01 4.83517802e-02
1.958854 1.13437768e-04 1.00500013e-04 1.29377557e-05 1.60897775e-05 1.60097269e-01 4.80291806e-02
1.962923 1.14188122e-04 1.01253704e-04 1.29344174e-05 1.60992275e-05 1.58998899e-01 4.76996697e-02
1.966991 1.14938700e-04 1.02010945e-04 1.29277558e-05 1.61046154e-05 1.57871447e-01 4.73614341e-02
1.971060 1.15689607e-04 1.02772300e-04 1.29173072e-05 1.61053534e-05 1.56709087e-01 4.70127262e-02
1.975129 1.16440958e-04 1.03538346e-04 1.29026120e-05 1.61008560e-05 1.55506212e-01 4.66518636e-02
1.979198 1.17192882e-04 1.04309667e-04 1.28832146e-05 1.60905411e-05 1.54257430e-01 4.62772289e-02
1.983266 1.17945521e-04 1.05086857e-04 1.28586638e-05 1.60738295e-05 1.52957563e-01 4.58872688e-02
1.987335 1.18699031e-04 1.05870519e-04 1.28285124e-05 1.60501451e-05 1.51601648e-01 4.54804943e-02
1.991404 1.19453583e-04 1.06661265e-04 1.27923178e-05 1.60189153e-05 1.50184935e-01 4.50554806e-02
1.995473 1.20209362e-04 1.07459720e-04 1.27496417e-05 1.59795709e-05 1.48702890e-01 4.46108669e-02
1.999542 1.20966566e-04 1.08266515e-04 1.27000507e-05 1.59315463e-05 1.47151188e-01 4.41453565e-02
2.003610 1.21725408e-04 1.09082292e-04 1.26431158e-05 1.58742795e-05 1.45525724e-01 4.36577171e-02
2.007679 1.22486117e-04 1.09907705e-04 1.25784129e-05 1.58072122e-05 1.43822603e-01 4.31467810e-02
2.011748 1.23248937e-04 1.10743414e-04 1.25055224e-05 1.57297898e-05 1.42038151e-01 4.26114454e-02
